Stock,R2_Score,RMSE,MAE,MAPE
Amazon.com_vs_UnitedHealth,0.9901829717,0.1073152944,0.07668835203,0.02628038034
Amazon.com_vs_Novo Nordisk ADR,0.9854646191,0.1749890464,0.1012221299,0.02199221715
Amazon.com_vs_Coca-Cola,0.9943436793,0.08887751842,0.06028081887,0.02312417408
Amazon.com_vs_McDonald’s,0.9937123755,0.08065205667,0.05884909168,0.02367338348
Amazon.com_vs_Applied Materials,0.8648661471,0.2243630212,0.1698865114,0.06203411464
Amazon.com_vs_NextEra Energy,0.986616074,0.1859876599,0.1696820372,0.05091957337
Amazon.com_vs_Southern,0.9931916041,0.0756315979,0.05627692222,0.02595616905
Amazon.com_vs_Rio Tinto ADR,0.9962889436,0.09434391174,0.0821511198,0.03297698329
Amazon.com_vs_Waste Management,0.9862159245,0.06621671419,0.05239877597,0.02184933232
Amazon.com_vs_BHP Group Ltd ADR,0.9987692735,0.06460578383,0.05035910556,0.01970489497
Amazon.com_vs_Enbridge,0.9944979285,0.1441771175,0.1102614748,0.02091671431
Amazon.com_vs_Sherwin-Williams,0.9900402634,0.07364147899,0.04399146409,0.01971707986
Amazon.com_vs_Linde PLC,0.9639477074,0.1640823414,0.1185531168,0.03658365117
Amazon.com_vs_Elevance Health,0.997817404,0.07082777611,0.04701894511,0.01984198317
Amazon.com_vs_McKesson,0.9447519509,0.1449047537,0.1274874285,0.04430133791
Amazon.com_vs_WW Grainger,0.9908426409,0.05903714312,0.04646919639,0.01505330491
Amazon.com_vs_P&G,0.990952922,0.07325553958,0.05781347749,0.02946244716
Berkshire Hathaway B_vs_JPMorgan,0.9912203984,0.05926887685,0.04137927223,0.01846453939
Berkshire Hathaway B_vs_Exxon Mobil,0.9406544196,0.1903957706,0.142124071,0.0529868608
Berkshire Hathaway B_vs_Caterpillar,0.9749112747,0.07026677432,0.04941122956,0.031422585
Berkshire Hathaway B_vs_Walt Disney,0.984633078,0.2016026785,0.1769067737,0.02051330176
Berkshire Hathaway B_vs_Chevron,0.9933705015,0.1024160315,0.07579743054,0.02893277262
Berkshire Hathaway B_vs_UnitedHealth,0.9767302216,0.1812738755,0.1383488318,0.04535158166
Berkshire Hathaway B_vs_Novo Nordisk ADR,0.9729122836,0.2480716304,0.1477794397,0.04550046452
Berkshire Hathaway B_vs_Coca-Cola,0.989451513,0.1006917973,0.07303939223,0.02945617419
Berkshire Hathaway B_vs_McDonald’s,0.9789812462,0.1498563369,0.1188097771,0.04142317497
Berkshire Hathaway B_vs_Applied Materials,0.9878626938,0.08990917817,0.06641332046,0.0389625283
Berkshire Hathaway B_vs_NextEra Energy,0.9906579129,0.1799408583,0.153740479,0.05324413698
Berkshire Hathaway B_vs_Southern,0.9788000582,0.1061767675,0.09030186252,0.04352110422
Berkshire Hathaway B_vs_Rio Tinto ADR,0.9903129192,0.1811101715,0.1303509279,0.03035439268
Berkshire Hathaway B_vs_Waste Management,0.9862607672,0.06576261799,0.04770595728,0.02421367004
Berkshire Hathaway B_vs_BHP Group Ltd ADR,0.994707448,0.1681256828,0.1302073578,0.02987955065
Berkshire Hathaway B_vs_Enbridge,0.9962107624,0.1137838319,0.09194714551,0.01422737852
Berkshire Hathaway B_vs_Sherwin-Williams,0.9670542452,0.1072325038,0.07680201561,0.03275974275
Berkshire Hathaway B_vs_Linde PLC,0.9844993721,0.1009927041,0.05654650149,0.02836936819
Berkshire Hathaway B_vs_Elevance Health,0.9900362318,0.163692037,0.1527845864,0.06513690309
Berkshire Hathaway B_vs_McKesson,0.9806624429,0.07214721707,0.05138370314,0.03410009324
Berkshire Hathaway B_vs_WW Grainger,0.9744850574,0.06044395647,0.04378359856,0.02925379122
Berkshire Hathaway B_vs_P&G,0.9678807181,0.1350228844,0.1015049083,0.04711897604
JPMorgan_vs_Exxon Mobil,0.9404166715,0.29222224,0.2496210958,0.09725560782
JPMorgan_vs_Caterpillar,0.988348776,0.05967465746,0.04438846404,0.02397750552
JPMorgan_vs_Walt Disney,0.9506673031,0.4641568728,0.3949704419,0.04579972941
JPMorgan_vs_Chevron,0.9842366113,0.177149171,0.1577285185,0.05210930414
JPMorgan_vs_UnitedHealth,0.9768680685,0.2033133295,0.181217601,0.06143937691
JPMorgan_vs_Novo Nordisk ADR,0.9901318117,0.16951156,0.1357108691,0.03383722131
JPMorgan_vs_Coca-Cola,0.9881123073,0.1521428785,0.1260902212,0.04107225915
JPMorgan_vs_McDonald’s,0.9971090433,0.06264796845,0.04213852619,0.01445571329
JPMorgan_vs_Applied Materials,0.9896416126,0.09774699806,0.07469288521,0.03158963504
JPMorgan_vs_NextEra Energy,0.9857198036,0.2248774318,0.1789984116,0.03655980684
JPMorgan_vs_Southern,0.9879836632,0.08537804637,0.07088713099,0.02929967738
JPMorgan_vs_Rio Tinto ADR,0.9956735516,0.1499324647,0.1285203084,0.04499401808
JPMorgan_vs_Waste Management,0.9853281161,0.08987540053,0.07650635471,0.0314015901
JPMorgan_vs_BHP Group Ltd ADR,0.9993036204,0.07148696694,0.05457370373,0.01827125403
JPMorgan_vs_Enbridge,0.9612334098,0.3792546415,0.3325843612,0.05112045881
JPMorgan_vs_Sherwin-Williams,0.9911406228,0.0904557384,0.06131236623,0.02729628138
JPMorgan_vs_Linde PLC,0.9884528488,0.1127629136,0.06253665261,0.02040718351
JPMorgan_vs_Elevance Health,0.9956486983,0.1431306448,0.1083669982,0.0333664717
JPMorgan_vs_McKesson,0.9258339281,0.1515594908,0.1346201309,0.05648168516
JPMorgan_vs_WW Grainger,0.9861699008,0.06822103288,0.05503833524,0.02272075295
JPMorgan_vs_P&G,0.9643184658,0.2027697683,0.1306274393,0.04562390449
UnitedHealth_vs_Novo Nordisk ADR,0.9944916422,0.1305389399,0.08661334813,0.027330031
UnitedHealth_vs_Coca-Cola,0.957141076,0.1883562226,0.1463271263,0.05097980393
UnitedHealth_vs_McDonald’s,0.9808091961,0.13166818,0.09731176787,0.04001696923
UnitedHealth_vs_Applied Materials,0.993504378,0.1252671678,0.09637232627,0.03897106361
UnitedHealth_vs_NextEra Energy,0.9787227222,0.2480142246,0.1842557071,0.04551117371
UnitedHealth_vs_Southern,0.970633507,0.1678836185,0.1264400378,0.04060796025
UnitedHealth_vs_Rio Tinto ADR,0.992923174,0.08819444807,0.0629018164,0.02058095975
UnitedHealth_vs_Waste Management,0.988695319,0.1054395329,0.07608252333,0.02757051246
UnitedHealth_vs_BHP Group Ltd ADR,0.9767875247,0.2179691203,0.1729833279,0.0486357388
UnitedHealth_vs_Enbridge,0.9773396227,0.260879865,0.2027797712,0.03166535391
UnitedHealth_vs_Sherwin-Williams,0.984428678,0.1120604148,0.08734715493,0.03527387996
UnitedHealth_vs_Linde PLC,0.9878158832,0.140380926,0.105736328,0.05070766757
UnitedHealth_vs_Elevance Health,0.9851640139,0.1366605269,0.1019161085,0.03381940426
UnitedHealth_vs_McKesson,0.9832835221,0.2099633354,0.1588270089,0.05399939066
UnitedHealth_vs_WW Grainger,0.9907486646,0.1522967045,0.1316245209,0.07699535672
UnitedHealth_vs_P&G,0.9786367549,0.13830599,0.1004319733,0.05220884139
Novo Nordisk ADR_vs_Coca-Cola,0.9883367215,0.1630377826,0.1207381818,0.04319301506
Novo Nordisk ADR_vs_McDonald’s,0.9795803918,0.2611620644,0.1966543201,0.05574844287
Novo Nordisk ADR_vs_Applied Materials,0.9855077981,0.1681771991,0.09983839321,0.03155772023
Novo Nordisk ADR_vs_NextEra Energy,0.990833642,0.2282886219,0.1765801331,0.06336963122
Novo Nordisk ADR_vs_Southern,0.982549349,0.2305757179,0.2025753654,0.07421129621
Novo Nordisk ADR_vs_Rio Tinto ADR,0.9823620935,0.2762271814,0.2249152249,0.04577765466
Novo Nordisk ADR_vs_Waste Management,0.9906668691,0.1289086588,0.07247047789,0.02138322088
Novo Nordisk ADR_vs_BHP Group Ltd ADR,0.9897612095,0.2604061896,0.2046381156,0.04164310757
Novo Nordisk ADR_vs_Enbridge,0.9945664476,0.1985003886,0.1363182165,0.01785508829
Novo Nordisk ADR_vs_Sherwin-Williams,0.9819068189,0.1877464506,0.1177807407,0.02952481803
Novo Nordisk ADR_vs_Linde PLC,0.9857724413,0.1692868536,0.09410500231,0.03483186606
Novo Nordisk ADR_vs_Elevance Health,0.9826303899,0.1809836144,0.1418174209,0.0391161616
Novo Nordisk ADR_vs_McKesson,0.9438793967,0.4058394416,0.2771195326,0.09780866184
Novo Nordisk ADR_vs_WW Grainger,0.9856270577,0.2192049111,0.1269111513,0.04881335493
Novo Nordisk ADR_vs_P&G,0.972136154,0.2619044685,0.1901136279,0.05287275195
Coca-Cola_vs_McDonald’s,0.9867105576,0.09964027307,0.07174378122,0.02871284873
Coca-Cola_vs_Applied Materials,0.9858722725,0.1115491877,0.08216088885,0.02954702806
Coca-Cola_vs_NextEra Energy,0.9797194959,0.1648330144,0.1262763098,0.03758778481
Coca-Cola_vs_Southern,0.9872700427,0.09456978204,0.06643811691,0.02753337334
Coca-Cola_vs_Rio Tinto ADR,0.9841662986,0.1801490815,0.1406201681,0.05932298877
Coca-Cola_vs_Waste Management,0.9583606888,0.1374425199,0.1154146809,0.04273839751
Coca-Cola_vs_BHP Group Ltd ADR,0.9889994602,0.1803986571,0.1541631397,0.05545389952
Coca-Cola_vs_Enbridge,0.9708049361,0.239764693,0.2153773376,0.03809202697
Coca-Cola_vs_Sherwin-Williams,0.9796470422,0.130851727,0.1057557952,0.04424649295
