Stock,R2_Score,RMSE,MAE,MAPE
Amazon.com_vs_UnitedHealth,0.9806250418,0.1507620334,0.1077892519,0.03792617053
Amazon.com_vs_Novo Nordisk ADR,0.975141962,0.2288395472,0.1315150973,0.0281391271
Amazon.com_vs_Coca-Cola,0.9783852381,0.1737401268,0.140872197,0.05840909621
Amazon.com_vs_McDonald’s,0.9911679185,0.09558806734,0.06239870752,0.02693267854
Amazon.com_vs_Applied Materials,0.9783505848,0.08980329764,0.0724622785,0.03198495483
Amazon.com_vs_NextEra Energy,0.9941467689,0.1229957775,0.08695501768,0.02571233611
Amazon.com_vs_Southern,0.9907046533,0.08837179427,0.0652301899,0.02977953566
Amazon.com_vs_Rio Tinto ADR,0.9961699519,0.09584450395,0.07699695593,0.03165049525
Amazon.com_vs_Waste Management,0.9842622968,0.07075375288,0.05599427334,0.02518788665
Amazon.com_vs_BHP Group Ltd ADR,0.9980700509,0.08090280024,0.06432052572,0.02443899063
Amazon.com_vs_Enbridge,0.9861252932,0.2289523642,0.1840421724,0.03902617733
Amazon.com_vs_Sherwin-Williams,0.9859524483,0.08745786977,0.05993972442,0.02795282862
Amazon.com_vs_Linde PLC,0.9839618919,0.109438963,0.05043126792,0.01592300858
Amazon.com_vs_Elevance Health,0.9928242645,0.1284251677,0.1036852616,0.03815167051
Amazon.com_vs_McKesson,0.9798740849,0.08745849063,0.06816120355,0.02633768811
Amazon.com_vs_WW Grainger,0.9704419668,0.1060664365,0.08440866936,0.02732935181
Amazon.com_vs_P&G,0.9686674516,0.1363277178,0.1039307867,0.04739882788
Berkshire Hathaway B_vs_JPMorgan,0.989926319,0.06348679304,0.04753781183,0.02343225587
Berkshire Hathaway B_vs_Exxon Mobil,0.913456558,0.2299218197,0.1775535675,0.06909771001
Berkshire Hathaway B_vs_Caterpillar,0.9473779485,0.1017641024,0.0721660624,0.04427916604
Berkshire Hathaway B_vs_Walt Disney,0.9836217657,0.2081308197,0.1783340432,0.02093594275
Berkshire Hathaway B_vs_Chevron,0.9892514323,0.1304076,0.1021246999,0.03682863508
Berkshire Hathaway B_vs_UnitedHealth,0.9894676864,0.1219553868,0.0895981868,0.03640578329
Berkshire Hathaway B_vs_Novo Nordisk ADR,0.9739002152,0.2435058323,0.1580522348,0.05056234933
Berkshire Hathaway B_vs_Coca-Cola,0.9830645694,0.1275842687,0.09257454649,0.03947946658
Berkshire Hathaway B_vs_McDonald’s,0.9631669012,0.1983767449,0.164923711,0.06177234564
Berkshire Hathaway B_vs_Applied Materials,0.9757795702,0.1270087955,0.08844305707,0.05714848861
Berkshire Hathaway B_vs_NextEra Energy,0.9845666622,0.2312798315,0.1630527693,0.03973672928
Berkshire Hathaway B_vs_Southern,0.9848817809,0.08966283819,0.06710968776,0.03257919414
Berkshire Hathaway B_vs_Rio Tinto ADR,0.9774441502,0.2763605053,0.2178684837,0.05315154072
Berkshire Hathaway B_vs_Waste Management,0.9707628241,0.09593245609,0.06995167169,0.03630759784
Berkshire Hathaway B_vs_BHP Group Ltd ADR,0.9776407121,0.3455655815,0.2708650426,0.06011813145
Berkshire Hathaway B_vs_Enbridge,0.9780993211,0.2735479258,0.2371983769,0.03621151761
Berkshire Hathaway B_vs_Sherwin-Williams,0.9322664751,0.1537547544,0.1077825759,0.04688775362
Berkshire Hathaway B_vs_Linde PLC,0.9702148699,0.139995832,0.07617097848,0.03944221807
Berkshire Hathaway B_vs_Elevance Health,0.9946613655,0.1198204208,0.09770929829,0.04433670741
Berkshire Hathaway B_vs_McKesson,0.962319715,0.1007107589,0.07194499888,0.04607478514
Berkshire Hathaway B_vs_WW Grainger,0.9386095858,0.09375746749,0.06335778509,0.04062645068
Berkshire Hathaway B_vs_P&G,0.9568591825,0.1564835369,0.1163932563,0.06147846566
JPMorgan_vs_Exxon Mobil,0.9682504689,0.2133140901,0.1536010483,0.04804811193
JPMorgan_vs_Caterpillar,0.9740312518,0.08909014503,0.07104298598,0.04063780992
JPMorgan_vs_Walt Disney,0.9640969456,0.3959707033,0.336171501,0.03963312844
JPMorgan_vs_Chevron,0.9908779642,0.1347597565,0.1083589286,0.03656183869
JPMorgan_vs_UnitedHealth,0.9837468498,0.1704231852,0.1387129984,0.04533879453
JPMorgan_vs_Novo Nordisk ADR,0.9810371508,0.2349808136,0.1493517199,0.03306607993
JPMorgan_vs_Coca-Cola,0.9863873222,0.1628075818,0.1250946608,0.04421807624
JPMorgan_vs_McDonald’s,0.9901645681,0.1155534497,0.09533948941,0.03349517923
JPMorgan_vs_Applied Materials,0.9898931204,0.0965530282,0.07287074178,0.03438113203
JPMorgan_vs_NextEra Energy,0.9897989651,0.1900644532,0.1456521725,0.03667851653
JPMorgan_vs_Southern,0.9854630973,0.09390659812,0.07506412779,0.03206870773
JPMorgan_vs_Rio Tinto ADR,0.9958706097,0.1464781619,0.1222816944,0.04827398206
JPMorgan_vs_Waste Management,0.984852271,0.09132121087,0.07544932204,0.03367038283
JPMorgan_vs_BHP Group Ltd ADR,0.9829854756,0.3533570355,0.2745498457,0.08185656849
JPMorgan_vs_Enbridge,0.988376603,0.2076675494,0.1712553721,0.03193059078
